Date,Sales,DayOfWeek,Month,Day,Year,Quarter,WeekOfYear,IsWeekend,IsMonthStart,IsMonthEnd,IsQuarterStart,IsQuarterEnd,Temperature,IsHoliday,Promotion,DaysSinceLastPromo,Product_Category,Store_ID,CustomerCount
2022-01-01,960.0,5,1,1,2022,1,52,1,1,0,1,0,48.0,1,0,1,Clothing,S002,182
2022-01-02,977.71,6,1,2,2022,1,52,1,0,0,0,0,49.2,0,0,2,Food,S003,210
2022-01-03,981.15,0,1,3,2022,1,1,0,0,0,0,0,55.8,0,0,3,Home,S002,214
2022-01-04,970.6,1,1,4,2022,1,1,0,0,0,0,0,52.1,0,0,4,Home,S002,193
2022-01-05,829.8,2,1,5,2022,1,1,0,0,0,0,0,53.4,0,1,0,Home,S001,170
2022-01-06,827.31,3,1,6,2022,1,1,0,0,0,0,0,40.2,0,0,1,Food,S001,160
2022-01-07,932.32,4,1,7,2022,1,1,0,0,0,0,0,55.3,0,0,2,Food,S002,175
2022-01-08,1070.02,5,1,8,2022,1,1,1,0,0,0,0,53.3,0,0,3,Home,S003,219
2022-01-09,1085.31,6,1,9,2022,1,1,1,0,0,0,0,54.2,0,0,4,Clothing,S003,220
2022-01-10,890.85,0,1,10,2022,1,2,0,0,0,0,0,41.9,0,0,5,Electronics,S001,181
2022-01-11,828.26,1,1,11,2022,1,2,0,0,0,0,0,56.8,0,0,6,Home,S002,181
2022-01-12,882.78,2,1,12,2022,1,2,0,0,0,0,0,52.7,0,0,7,Home,S001,175
2022-01-13,906.07,3,1,13,2022,1,2,0,0,0,0,0,50.2,0,0,8,Home,S002,183
2022-01-14,934.33,4,1,14,2022,1,2,0,0,0,0,0,56.1,0,0,9,Food,S003,202
2022-01-15,972.43,5,1,15,2022,1,2,1,0,0,0,0,59.7,0,0,10,Electronics,S001,190
2022-01-16,1057.17,6,1,16,2022,1,2,1,0,0,0,0,46.3,0,1,0,Clothing,S002,215
2022-01-17,969.16,0,1,17,2022,1,3,0,0,0,0,0,46.9,0,1,0,Clothing,S001,211
2022-01-18,823.79,1,1,18,2022,1,3,0,0,0,0,0,51.8,0,1,0,Food,S002,175
2022-01-19,912.42,2,1,19,2022,1,3,0,0,0,0,0,57.3,0,0,1,Home,S003,196
2022-01-20,903.85,3,1,20,2022,1,3,0,0,0,0,0,54.4,0,0,2,Food,S003,190
2022-01-21,880.23,4,1,21,2022,1,3,0,0,0,0,0,58.2,0,0,3,Clothing,S001,165
2022-01-22,1130.06,5,1,22,2022,1,3,1,0,0,0,0,53.8,0,0,4,Electronics,S001,208
2022-01-23,1065.16,6,1,23,2022,1,3,1,0,0,0,0,55.2,0,1,0,Electronics,S002,195
2022-01-24,910.32,0,1,24,2022,1,4,0,0,0,0,0,45.1,0,1,0,Home,S002,189
2022-01-25,943.52,1,1,25,2022,1,4,0,0,0,0,0,49.7,0,0,1,Electronics,S002,192
2022-01-26,874.88,2,1,26,2022,1,4,0,0,0,0,0,50.4,0,1,0,Home,S002,172
2022-01-27,850.57,3,1,27,2022,1,4,0,0,0,0,0,48.0,0,0,1,Food,S001,189
2022-01-28,842.82,4,1,28,2022,1,4,0,0,0,0,0,49.3,0,0,2,Clothing,S002,159
2022-01-29,1010.55,5,1,29,2022,1,4,1,0,0,0,0,49.4,0,0,3,Food,S003,213
2022-01-30,1124.87,6,1,30,2022,1,4,1,0,0,0,0,43.3,0,0,4,Home,S001,221
2022-01-31,948.89,0,1,31,2022,1,5,0,0,1,0,0,47.7,0,0,5,Home,S003,172
2022-02-01,934.55,1,2,1,2022,1,5,0,1,0,0,0,45.6,0,1,0,Home,S001,169
2022-02-02,938.59,2,2,2,2022,1,5,0,0,0,0,0,47.1,0,1,0,Home,S002,194
2022-02-03,947.88,3,2,3,2022,1,5,0,0,0,0,0,53.0,0,0,1,Clothing,S002,170
2022-02-04,869.66,4,2,4,2022,1,5,0,0,0,0,0,49.1,0,0,2,Home,S003,180
2022-02-05,1077.74,5,2,5,2022,1,5,1,0,0,0,0,59.7,0,1,0,Food,S001,232
2022-02-06,978.49,6,2,6,2022,1,5,1,0,0,0,0,49.5,0,0,1,Electronics,S003,209
2022-02-07,933.84,0,2,7,2022,1,6,0,0,0,0,0,52.8,0,1,0,Electronics,S003,192
2022-02-08,973.77,1,2,8,2022,1,6,0,0,0,0,0,43.2,0,0,1,Home,S001,197
2022-02-09,848.78,2,2,9,2022,1,6,0,0,0,0,0,47.1,0,0,2,Electronics,S002,176
2022-02-10,858.15,3,2,10,2022,1,6,0,0,0,0,0,51.4,0,0,3,Clothing,S003,163
2022-02-11,889.3,4,2,11,2022,1,6,0,0,0,0,0,55.2,0,1,0,Food,S003,159
2022-02-12,1118.02,5,2,12,2022,1,6,1,0,0,0,0,50.2,0,0,1,Electronics,S001,221
2022-02-13,1079.53,6,2,13,2022,1,6,1,0,0,0,0,43.3,0,0,2,Electronics,S002,235
2022-02-14,925.23,0,2,14,2022,1,7,0,0,0,0,0,42.3,1,0,3,Home,S002,201
2022-02-15,843.66,1,2,15,2022,1,7,0,0,0,0,0,44.2,0,0,4,Home,S001,178
2022-02-16,895.32,2,2,16,2022,1,7,0,0,0,0,0,58.5,0,1,0,Electronics,S002,184
2022-02-17,951.24,3,2,17,2022,1,7,0,0,0,0,0,47.7,0,0,1,Electronics,S001,208
2022-02-18,969.67,4,2,18,2022,1,7,0,0,0,0,0,53.4,0,0,2,Home,S002,197
2022-02-19,1008.98,5,2,19,2022,1,7,1,0,0,0,0,52.1,0,0,3,Home,S002,214
2022-02-20,1091.24,6,2,20,2022,1,7,1,0,0,0,0,53.0,0,0,4,Electronics,S003,236
2022-02-21,872.27,0,2,21,2022,1,8,0,0,0,0,0,50.1,0,0,5,Electronics,S001,159
2022-02-22,902.18,1,2,22,2022,1,8,0,0,0,0,0,41.9,0,1,0,Electronics,S002,189
2022-02-23,919.04,2,2,23,2022,1,8,0,0,0,0,0,41.2,0,0,1,Food,S003,184
2022-02-24,958.74,3,2,24,2022,1,8,0,0,0,0,0,41.5,0,0,2,Electronics,S002,182
2022-02-25,854.34,4,2,25,2022,1,8,0,0,0,0,0,50.8,0,0,3,Electronics,S002,153
2022-02-26,1161.28,5,2,26,2022,1,8,1,0,0,0,0,46.5,0,0,4,Clothing,S001,251
2022-02-27,1114.91,6,2,27,2022,1,8,1,0,0,0,0,41.6,0,1,0,Electronics,S002,225
2022-02-28,898.62,0,2,28,2022,1,9,0,0,1,0,0,46.3,0,1,0,Clothing,S002,193
2022-03-01,947.53,1,3,1,2022,1,9,0,1,0,0,0,62.6,0,0,1,Electronics,S003,171
2022-03-02,1003.29,2,3,2,2022,1,9,0,0,0,0,0,67.4,0,0,2,Home,S003,216
2022-03-03,1020.4,3,3,3,2022,1,9,0,0,0,0,0,60.5,0,0,3,Home,S003,194
2022-03-04,1081.37,4,3,4,2022,1,9,0,0,0,0,0,74.1,0,1,0,Clothing,S003,199
2022-03-05,1170.72,5,3,5,2022,1,9,1,0,0,0,0,60.0,0,0,1,Clothing,S001,227
2022-03-06,1291.18,6,3,6,2022,1,9,1,0,0,0,0,70.3,0,0,2,Food,S002,264
2022-03-07,1115.63,0,3,7,2022,1,10,0,0,0,0,0,56.8,0,0,3,Clothing,S001,242
2022-03-08,1102.5,1,3,8,2022,1,10,0,0,0,0,0,72.0,0,1,0,Food,S003,210
2022-03-09,982.64,2,3,9,2022,1,10,0,0,0,0,0,60.2,0,1,0,Home,S001,181
2022-03-10,1055.92,3,3,10,2022,1,10,0,0,0,0,0,67.2,0,0,1,Clothing,S003,209
2022-03-11,983.19,4,3,11,2022,1,10,0,0,0,0,0,60.4,0,0,2,Clothing,S001,215
2022-03-12,1098.98,5,3,12,2022,1,10,1,0,0,0,0,55.4,0,0,3,Home,S002,224
2022-03-13,1111.47,6,3,13,2022,1,10,1,0,0,0,0,73.1,0,1,0,Clothing,S002,237
2022-03-14,971.37,0,3,14,2022,1,11,0,0,0,0,0,57.0,0,1,0,Clothing,S002,191
